No.,Sec.,ALL-L,ALL-R,25-L,25-R,31.5-L,31.5-R,40-L,40-R,50-L,50-R,63-L,63-R,80-L,80-R,100-L,100-R,125-L,125-R,160-L,160-R,200-L,200-R,250-L,250-R,315-L,315-R,400-L,400-R,500-L,500-R,630-L,630-R,800-L,800-R,1k-L,1k-R,1.25k-L,1.25k-R,1.6k-L,1.6k-R,2k-L,2k-R,2.5k-L,2.5k-R,3.15k-L,3.15k-R,4k-L,4k-R,5k-L,5k-R,6.3k-L,6.3k-R,8k-L,8k-R,10k-L,10k-R,12.5k-L,12.5k-R,16k-L,16k-R,20k-L,20k-R,25k-L,25k-R
11,528,46.56,46.36,-2.41,-0.94,12.54,13.52,19.35,20.25,26.16,26.98,22.00,22.69,12.57,14.80,24.36,19.89,16.63,15.43,18.37,18.08,22.69,25.10,22.60,23.15,23.80,27.35,27.51,26.37,28.08,28.28,28.26,29.49,31.15,31.82,30.58,30.93,30.13,31.41,31.15,31.16,31.51,30.59,32.26,33.04,33.95,34.37,39.98,39.54,38.07,38.97,35.14,33.51,34.91,33.38,34.27,33.24,33.87,32.28,32.61,31.40,31.57,30.31,29.35,29.10
12,529,45.46,44.75,-3.64,-3.14,14.89,15.40,21.46,21.86,28.02,28.32,23.62,23.75,11.04,13.50,24.67,19.02,15.93,16.29,18.50,18.71,20.71,23.61,22.78,22.40,23.95,26.76,22.54,22.10,23.61,23.06,27.47,28.03,29.69,29.45,34.24,34.51,32.67,33.64,31.20,31.60,31.95,30.09,31.82,31.29,32.97,32.50,34.92,33.74,34.39,33.93,34.58,33.09,34.80,33.10,34.38,32.88,33.69,32.33,32.77,31.16,31.58,29.94,29.45,28.89
13,530,56.28,58.21,-1.35,-0.10,15.29,16.05,21.53,22.16,27.77,28.26,23.15,23.49,10.99,13.38,24.20,19.09,15.46,14.61,15.17,16.97,20.44,23.38,23.96,23.34,23.42,26.57,24.49,22.76,23.70,24.64,25.90,25.44,27.06,26.36,28.87,27.13,29.95,29.66,30.86,29.92,30.86,31.18,31.77,31.29,34.13,34.77,55.73,57.88,41.87,42.51,37.18,34.86,37.86,36.63,35.32,34.08,33.82,32.66,32.86,31.28,31.50,30.15,29.42,28.78
14,531,46.28,46.28,-2.63,-2.01,12.19,13.24,18.50,19.34,24.81,25.44,20.51,20.97,12.96,12.00,23.48,22.22,15.88,15.88,17.93,19.48,20.17,24.63,22.44,22.58,24.12,26.08,26.08,25.20,24.82,24.60,25.32,26.35,26.82,26.63,28.68,27.87,28.67,28.25,29.80,28.97,31.48,29.47,31.92,32.57,32.88,32.28,40.46,41.83,37.52,37.87,35.25,33.62,35.14,33.94,34.30,33.32,33.89,32.34,32.76,31.31,31.70,30.36,29.58,29.30
15,532,44.77,43.60,-0.51,0.71,11.57,13.60,17.85,19.36,24.14,25.12,20.56,20.74,12.07,12.47,24.71,18.39,15.87,14.48,16.51,19.83,21.95,25.82,22.56,22.20,23.35,26.20,24.26,21.67,22.77,22.55,25.16,23.91,27.02,25.82,29.66,28.40,28.56,27.12,30.49,29.50,31.02,29.96,31.64,30.58,32.90,31.65,34.19,33.49,34.42,33.36,34.51,32.86,34.88,33.01,34.26,33.02,33.90,32.19,32.60,31.21,31.44,30.08,29.35,29.03
16,533,46.46,46.20,-1.82,-0.66,13.07,13.88,19.85,20.49,26.62,27.11,22.47,22.95,10.93,13.00,24.51,18.89,15.65,16.04,16.81,17.64,21.34,24.38,24.15,23.90,23.01,26.36,26.80,26.07,27.86,28.80,28.75,28.53,30.59,30.66,30.80,31.73,30.49,30.78,30.41,30.20,31.44,30.90,32.52,32.27,33.71,33.76,39.90,39.34,37.96,39.23,34.57,33.12,34.71,33.33,34.13,33.12,33.83,32.43,32.88,31.42,31.62,30.08,29.60,29.42
17,534,45.56,45.06,-0.22,1.90,15.25,16.32,21.73,22.57,28.21,28.82,23.97,24.30,8.93,13.23,24.68,19.44,14.58,14.80,16.34,17.81,19.94,23.82,24.03,24.40,23.61,25.54,22.89,21.86,24.52,24.51,28.66,29.05,29.91,30.35,34.15,35.00,33.21,34.13,33.41,34.83,31.19,30.36,32.02,31.34,32.84,31.90,34.85,33.68,34.55,33.32,34.62,33.16,34.45,33.03,34.23,32.76,33.76,32.18,32.58,31.20,31.38,30.21,29.32,28.78
18,535,53.50,55.25,-2.56,-1.35,13.17,14.26,19.91,20.62,26.65,26.98,22.60,22.65,12.18,13.63,23.76,21.17,15.65,15.85,17.16,18.26,20.69,24.87,21.62,22.40,23.50,25.25,24.89,23.38,23.80,23.06,24.82,25.02,26.89,25.80,28.72,27.72,29.58,29.00,30.13,29.26,31.17,29.84,31.87,31.18,33.45,33.54,52.70,54.79,39.12,39.42,36.07,34.02,36.46,35.17,34.59,33.51,33.60,32.62,32.80,31.25,31.56,30.09,29.61,28.68
19,536,45.77,45.43,-1.45,1.30,11.74,13.42,17.82,19.05,23.90,24.68,19.79,20.23,12.96,13.95,24.75,21.10,16.23,15.30,16.52,18.13,20.94,23.87,24.32,23.55,23.17,27.14,23.75,23.26,23.75,22.67,25.18,24.55,27.09,25.55,28.47,26.39,29.43,27.37,30.09,28.87,31.09,30.32,31.92,32.03,33.00,32.48,38.80,39.87,37.01,37.09,35.11,33.49,34.76,33.85,34.47,33.09,33.65,32.37,32.80,31.49,31.53,30.09,29.35,29.48
20,537,44.71,43.68,-1.98,-1.40,12.41,13.44,18.90,19.84,25.39,26.24,21.21,22.17,11.48,12.94,24.04,19.82,14.75,16.18,17.39,19.56,21.52,25.76,23.06,22.75,24.34,26.39,22.77,20.64,23.20,21.35,24.87,24.18,26.86,25.70,28.63,27.70,29.29,27.06,29.70,28.67,31.05,29.82,32.05,31.34,32.94,31.84,33.92,33.70,34.23,32.93,34.73,33.15,34.41,33.08,34.29,33.15,33.88,32.36,32.67,31.22,31.56,30.13,29.58,29.20
21,538,45.47,44.75,0.53,2.17,15.25,15.54,21.66,22.03,28.08,28.53,23.66,24.03,13.55,13.60,24.54,18.85,15.29,16.27,17.38,19.13,21.33,24.29,22.58,22.02,23.86,26.32,25.29,23.34,25.33,26.18,26.50,26.72,28.85,28.63,29.93,29.67,28.93,28.82,30.20,29.30,30.89,29.54,32.37,31.47,33.07,32.71,36.88,36.25,36.05,36.37,34.88,33.32,34.70,33.23,34.27,32.96,33.79,32.31,32.66,31.17,31.54,30.24,29.75,28.84
22,539,45.16,44.47,-1.36,0.93,14.94,15.80,21.14,21.82,27.33,27.84,22.83,23.17,10.93,14.03,24.01,21.43,16.03,15.69,16.65,18.35,20.62,24.08,22.67,22.29,23.03,26.50,22.18,20.45,23.98,22.74,27.15,28.10,28.56,28.83,32.35,33.05,31.58,32.48,31.79,33.22,30.83,29.94,32.08,31.18,33.10,32.13,34.63,33.00,34.25,32.85,34.36,33.49,34.76,33.08,34.24,32.86,33.75,32.22,32.71,31.30,31.60,30.00,29.50,28.92
23,540,51.29,52.86,-1.62,-0.04,13.11,15.30,19.18,21.09,25.25,26.87,20.47,21.30,11.59,12.80,24.23,19.74,16.73,15.58,18.05,19.48,21.23,25.60,24.20,23.78,23.83,26.18,22.30,23.39,22.62,22.24,24.81,24.47,25.74,25.24,27.73,27.20,29.59,28.53,29.96,28.94,31.12,30.45,31.45,31.12,33.55,32.99,50.07,52.17,37.87,37.73,35.49,33.55,35.80,34.47,34.57,33.38,33.74,32.33,32.82,31.18,31.47,30.27,29.30,28.92
24,541,45.23,44.55,-0.89,0.72,13.27,14.22,19.73,20.61,26.19,27.00,21.75,22.48,12.12,15.38,24.35,20.15,15.73,14.89,16.91,17.92,19.37,23.85,21.66,22.47,23.26,26.14,24.41,20.46,24.09,22.64,25.75,23.65,26.68,25.44,27.77,26.49,28.82,27.46,29.83,28.37,30.60,29.52,31.89,30.92,33.34,31.88,37.20,37.83,35.67,35.38,34.80,33.34,34.52,33.46,34.05,33.37,33.71,32.27,32.87,31.33,31.36,30.13,29.40,28.79
25,542,44.88,44.18,-0.42,0.78,15.36,15.78,21.98,22.43,28.61,29.07,24.23,24.84,14.11,18.52,23.55,22.78,19.04,19.71,18.78,19.94,21.32,24.37,22.65,23.06,24.47,26.98,26.47,25.91,24.88,22.69,26.26,26.16,27.85,27.63,28.43,27.31,28.94,27.70,29.74,29.15,30.79,30.64,32.26,32.81,32.83,32.64,34.31,34.08,34.07,33.11,34.51,33.35,34.55,33.22,34.43,32.82,33.80,32.25,32.43,31.23,31.48,29.98,29.42,28.74
26,543,45.10,44.30,-3.65,-0.62,13.28,14.44,19.83,20.72,26.38,27.00,21.89,22.51,11.84,12.36,24.15,18.81,15.32,14.09,17.25,17.76,21.48,24.50,21.00,21.73,23.54,27.64,24.07,22.14,25.32,23.79,26.24,25.81,28.16,27.42,29.20,28.55,28.93,28.50,30.02,28.83,30.83,30.02,32.40,30.67,32.89,32.32,36.03,35.42,35.23,35.15,34.62,33.40,34.43,33.43,34.26,33.09,33.89,32.24,32.66,31.24,31.47,30.24,29.36,29.26
27,544,45.12,44.30,-2.05,-1.53,10.35,11.68,16.73,17.84,23.10,24.00,18.91,19.48,13.58,13.00,24.98,19.52,16.20,15.25,16.41,18.86,22.55,25.18,23.18,22.99,23.56,26.57,22.97,21.62,23.86,22.85,26.96,26.68,27.90,27.58,31.47,31.06,30.47,30.87,31.65,31.21,30.97,30.07,31.47,30.79,32.81,31.69,35.75,35.63,34.51,33.50,34.69,33.01,34.58,33.27,34.22,33.15,33.75,32.44,32.81,31.22,31.57,30.13,29.57,29.13
28,545,51.38,52.36,-2.54,-0.64,13.03,13.77,19.50,20.08,25.98,26.40,21.52,21.89,10.59,13.11,23.72,19.99,15.64,17.38,17.93,19.83,20.24,23.58,22.72,22.03,23.08,25.89,22.71,21.55,24.31,23.51,25.61,24.85,27.25,26.81,27.84,27.75,29.16,28.53,29.78,29.35,31.19,30.11,32.27,31.22,33.18,32.96,48.84,50.56,44.36,44.96,38.56,36.54,37.89,36.84,35.65,34.86,33.76,32.56,32.70,31.32,31.49,30.14,29.70,29.20
29,546,45.04,44.29,-2.78,-1.86,14.78,15.10,21.41,21.67,28.04,28.24,23.76,23.89,11.20,12.93,23.40,18.94,15.91,16.00,17.20,17.71,20.00,23.82,22.02,23.69,24.15,25.79,24.28,21.92,22.60,21.86,24.70,25.13,26.14,24.86,28.12,27.03,29.04,27.21,29.45,29.07,30.41,30.16,31.78,31.37,32.80,32.04,35.92,36.36,35.20,34.44,34.80,33.49,34.93,33.36,34.14,33.17,33.94,32.40,32.61,31.16,31.74,30.14,29.22,28.85
30,547,44.95,44.29,-0.48,0.54,13.01,14.21,19.27,20.28,25.54,26.35,21.08,21.65,12.88,14.74,24.83,19.70,16.22,15.77,17.84,18.89,20.25,24.39,22.54,22.05,24.57,28.02,24.35,24.16,24.35,24.46,24.94,25.88,29.51,29.32,28.27,26.73,28.17,26.99,30.11,28.98,31.18,31.33,33.27,34.96,33.48,32.99,34.51,33.57,34.57,33.39,34.35,33.05,34.63,33.01,34.31,33.11,33.77,32.28,32.76,31.35,31.39,30.04,29.54,29.35
