No.,Sec.,ALL-L,ALL-R,25-L,25-R,31.5-L,31.5-R,40-L,40-R,50-L,50-R,63-L,63-R,80-L,80-R,100-L,100-R,125-L,125-R,160-L,160-R,200-L,200-R,250-L,250-R,315-L,315-R,400-L,400-R,500-L,500-R,630-L,630-R,800-L,800-R,1k-L,1k-R,1.25k-L,1.25k-R,1.6k-L,1.6k-R,2k-L,2k-R,2.5k-L,2.5k-R,3.15k-L,3.15k-R,4k-L,4k-R,5k-L,5k-R,6.3k-L,6.3k-R,8k-L,8k-R,10k-L,10k-R,12.5k-L,12.5k-R,16k-L,16k-R,20k-L,20k-R,25k-L,25k-R
1,746,44.76,43.69,-1.65,1.75,14.25,14.87,20.86,21.38,27.47,27.88,23.17,23.52,10.46,13.02,23.07,19.27,13.72,14.13,16.76,18.70,20.63,24.72,22.66,22.87,23.21,26.75,22.25,21.07,23.05,21.28,25.03,24.40,26.79,26.00,27.33,26.70,28.79,27.53,29.97,28.30,30.63,29.63,31.69,30.95,33.08,31.84,34.57,33.49,34.77,33.40,34.70,33.12,34.57,33.21,34.03,33.00,33.79,32.28,32.63,31.39,31.53,30.09,29.44,28.88
2,747,44.80,43.69,1.85,3.94,13.61,14.93,20.05,21.05,26.49,27.17,22.48,22.81,11.66,13.43,22.81,19.53,15.40,15.72,17.84,18.07,21.12,25.37,20.75,21.37,23.95,26.92,21.16,21.44,23.94,22.89,24.87,23.84,27.68,26.80,28.49,27.21,28.81,26.94,29.44,28.35,31.00,30.41,31.22,30.71,32.86,31.90,34.87,33.45,34.67,33.32,34.55,33.24,34.69,33.02,34.43,32.96,33.68,32.39,32.74,31.22,31.59,30.00,29.71,28.85
3,748,45.98,45.74,-3.55,-1.35,13.71,15.50,19.99,21.54,26.26,27.58,21.57,22.53,9.36,16.93,23.49,18.41,16.01,15.60,18.11,19.87,20.93,24.11,22.31,22.27,24.49,27.39,23.29,21.07,23.63,22.86,25.65,25.40,26.47,26.86,27.46,26.54,28.50,27.68,29.47,28.71,31.01,29.31,32.18,30.74,32.82,32.35,40.48,41.64,35.33,35.29,35.17,33.24,35.04,33.36,34.41,33.05,33.70,32.27,32.95,31.35,31.32,30.19,29.30,29.12
4,749,45.02,44.10,-3.80,-1.12,12.65,14.33,19.23,20.58,25.82,26.83,21.41,22.14,11.35,15.70,22.72,19.12,16.02,14.34,16.56,18.29,21.67,26.07,22.15,22.01,24.10,26.75,22.04,20.51,23.98,23.78,24.92,24.36,26.69,26.11,28.33,27.55,28.78,27.25,29.87,28.80,31.29,29.66,31.86,30.30,32.87,31.69,36.10,36.05,35.01,34.02,34.64,33.39,34.58,33.42,34.58,33.03,33.97,32.47,32.72,31.32,31.45,30.18,29.26,29.27
5,750,44.66,43.67,-3.10,-1.76,11.84,13.94,18.40,20.11,24.95,26.28,20.37,21.36,11.55,11.95,22.58,18.83,14.22,14.40,16.72,17.20,21.02,25.35,22.26,23.81,23.94,26.96,22.12,21.61,24.19,21.78,24.85,24.17,27.45,26.26,29.02,27.87,28.43,27.53,29.76,28.90,30.98,29.72,31.36,30.29,32.72,31.86,34.45,33.61,34.32,33.43,34.48,32.85,34.59,33.16,34.23,33.11,33.66,32.36,32.73,31.29,31.55,30.19,29.55,29.17
6,751,45.11,44.14,-4.08,-2.78,14.00,14.65,20.64,21.14,27.28,27.64,23.11,23.60,11.06,12.24,22.57,18.47,15.52,16.04,18.31,19.66,20.35,24.44,23.02,24.01,22.83,26.71,24.22,22.85,24.39,24.38,25.66,25.84,27.72,26.77,28.95,26.90,29.21,27.12,29.95,28.77,31.07,30.02,32.09,30.87,33.20,31.99,36.08,35.40,35.04,34.60,34.69,33.16,34.41,33.09,34.31,33.09,33.80,32.41,32.94,31.27,31.38,30.22,29.34,28.87
7,752,44.92,43.83,-3.93,-2.52,15.32,16.61,21.96,23.06,28.60,29.52,24.19,25.01,8.97,11.46,23.19,16.29,15.18,15.57,18.60,19.40,21.15,25.50,22.40,21.61,23.38,26.66,23.74,21.86,24.06,23.17,24.74,25.02,27.42,26.93,28.40,27.10,28.69,27.94,29.78,29.07,31.03,29.70,32.15,30.62,32.98,31.91,34.95,33.82,34.78,33.54,34.33,33.04,34.72,33.03,34.23,32.78,33.69,31.97,32.70,31.30,31.55,30.23,29.90,28.86
8,753,47.86,48.60,-4.04,-1.57,14.90,15.54,21.50,22.05,28.10,28.56,23.93,24.35,12.70,14.91,23.12,19.41,15.04,13.54,15.47,18.56,20.45,25.02,22.21,23.99,24.89,27.50,22.20,22.37,23.44,24.86,25.37,23.88,26.75,26.25,28.30,27.14,28.64,26.82,30.08,27.87,31.14,29.93,31.59,30.53,33.37,32.36,45.06,46.90,35.73,34.91,34.78,33.25,34.80,33.79,34.18,33.10,33.61,32.48,32.88,31.27,31.47,30.23,29.58,28.72
9,754,45.05,43.97,-2.46,-0.28,15.82,16.90,22.53,23.29,29.23,29.68,24.99,25.14,11.83,13.89,22.76,20.54,13.79,13.08,17.09,16.51,20.22,24.51,20.87,22.05,23.36,25.78,22.16,21.78,23.20,22.67,24.29,24.34,26.95,25.99,28.47,26.90,29.21,27.29,30.49,27.99,31.01,29.65,32.16,30.54,33.35,31.89,35.44,35.11,34.97,34.02,34.64,33.16,34.61,33.18,34.25,32.97,33.74,32.16,32.67,31.26,31.56,30.22,29.29,28.74
10,755,44.83,43.73,-0.90,2.45,15.24,16.41,21.81,22.59,28.38,28.78,24.00,24.47,12.24,13.87,22.19,18.32,13.01,12.93,16.45,18.14,21.57,25.68,21.91,21.38,24.92,26.82,22.64,20.91,22.97,22.27,24.92,24.04,26.94,26.00,28.14,27.04,28.64,26.65,29.88,28.82,30.62,29.67,32.20,30.49,33.14,31.96,34.41,33.46,34.82,33.73,34.37,33.08,34.52,33.16,34.23,32.88,33.80,32.25,32.84,31.32,31.56,30.16,29.29,28.60
