No.,Sec.,ALL-L,ALL-R,25-L,25-R,31.5-L,31.5-R,40-L,40-R,50-L,50-R,63-L,63-R,80-L,80-R,100-L,100-R,125-L,125-R,160-L,160-R,200-L,200-R,250-L,250-R,315-L,315-R,400-L,400-R,500-L,500-R,630-L,630-R,800-L,800-R,1k-L,1k-R,1.25k-L,1.25k-R,1.6k-L,1.6k-R,2k-L,2k-R,2.5k-L,2.5k-R,3.15k-L,3.15k-R,4k-L,4k-R,5k-L,5k-R,6.3k-L,6.3k-R,8k-L,8k-R,10k-L,10k-R,12.5k-L,12.5k-R,16k-L,16k-R,20k-L,20k-R,25k-L,25k-R
1,689,44.87,43.82,-3.54,-1.86,15.07,16.25,21.69,22.68,28.30,29.11,24.06,24.65,12.02,9.14,22.85,18.77,14.53,14.81,15.22,17.56,20.92,26.04,21.52,22.18,24.98,27.54,23.25,20.49,23.49,22.59,24.52,24.05,26.78,26.23,29.41,28.66,29.84,28.89,30.14,28.74,31.10,29.85,32.07,30.47,33.12,31.63,34.57,33.28,34.24,33.48,34.47,33.05,34.54,32.92,34.42,32.99,33.74,32.48,32.55,31.20,31.36,30.22,29.30,28.90
2,690,48.94,50.10,-3.14,-1.47,14.24,15.05,20.83,21.56,27.42,28.08,23.01,23.64,11.66,12.82,22.86,20.37,14.87,14.80,16.82,17.27,19.72,23.94,22.92,21.82,23.88,26.12,24.60,21.49,23.85,23.59,25.17,24.51,25.89,24.80,27.43,27.05,28.50,27.23,29.48,28.77,31.15,29.67,32.31,30.71,32.94,32.26,46.86,48.92,36.42,36.08,34.81,33.57,35.11,33.75,34.35,33.07,33.84,32.35,32.79,31.57,31.39,30.12,29.38,28.76
3,691,44.88,44.07,-3.28,-0.81,12.92,14.20,19.54,20.45,26.15,26.69,22.12,22.32,11.33,13.70,23.31,17.92,16.32,16.53,17.86,17.06,20.25,24.16,22.75,23.11,22.76,27.45,22.80,21.42,24.67,22.39,24.95,24.31,26.26,25.97,27.90,26.60,28.55,28.26,29.25,28.26,30.73,30.26,32.09,30.93,32.95,31.90,35.68,35.62,34.96,34.38,34.61,33.13,34.62,33.34,34.16,32.99,33.73,32.35,32.68,31.34,31.45,30.16,29.40,28.79
4,692,44.76,43.64,-0.61,1.89,13.63,15.49,20.36,21.81,27.09,28.13,23.80,24.10,14.79,12.20,23.12,18.76,16.63,15.32,17.46,20.49,23.32,26.91,22.33,22.95,24.70,26.66,22.65,22.17,23.54,21.96,25.74,24.83,28.12,26.30,28.19,26.58,28.69,27.15,29.40,29.19,30.42,29.77,32.41,30.52,33.10,31.34,33.92,32.90,34.21,33.19,34.28,32.85,34.70,33.00,34.32,33.28,33.79,32.23,32.79,31.19,31.44,30.05,29.28,28.74
5,693,44.95,44.00,1.59,3.92,13.89,16.01,20.26,21.93,26.63,27.84,22.48,23.06,13.28,14.77,24.14,20.12,16.39,14.03,15.56,18.96,22.26,27.01,22.27,22.46,23.57,26.86,24.30,22.31,24.38,23.33,25.74,24.90,27.32,26.98,29.23,27.26,28.99,28.22,30.23,28.83,30.88,29.88,31.83,30.57,32.81,31.97,35.22,34.38,35.00,34.32,34.44,33.02,34.75,33.15,34.10,32.96,33.73,32.55,32.74,31.42,31.52,30.01,29.51,29.00
6,694,44.81,43.85,1.08,2.54,15.05,15.92,21.64,22.37,28.24,28.83,24.22,24.30,13.62,14.64,23.20,18.64,14.76,14.44,16.61,17.80,20.69,24.24,23.05,23.28,24.48,27.00,22.89,20.13,23.00,21.83,24.99,25.12,27.04,26.16,29.51,27.97,29.36,28.96,30.31,30.38,31.37,29.54,31.65,30.77,33.31,31.86,33.81,33.53,34.37,33.22,34.35,33.07,34.35,32.89,34.25,33.14,33.78,32.33,32.64,31.32,31.64,30.26,29.61,28.70
7,695,47.42,47.87,-3.76,-1.81,15.71,16.63,22.17,23.00,28.62,29.37,24.22,24.95,10.59,11.31,22.34,18.59,16.73,13.81,15.81,18.37,20.65,26.40,23.41,23.20,25.05,26.39,23.70,21.72,23.12,23.02,24.53,23.68,26.44,25.91,28.92,26.77,29.05,27.80,30.04,28.74,31.15,29.50,32.20,30.46,32.76,32.12,44.14,45.85,35.77,34.73,34.53,32.93,35.12,33.45,34.31,33.09,33.72,32.22,32.64,31.29,31.43,30.20,29.21,28.67
8,696,44.85,43.85,-3.99,-1.48,14.73,15.56,21.26,21.97,27.79,28.39,23.42,23.80,12.44,11.39,23.09,16.84,14.28,14.12,16.07,18.04,18.77,23.42,23.26,21.82,24.23,27.23,23.28,21.27,23.13,22.59,24.06,24.70,25.85,25.94,28.38,26.61,28.82,27.71,29.51,28.44,30.96,29.70,31.90,30.60,32.81,31.82,35.35,34.45,34.87,33.74,34.43,33.24,34.56,33.32,34.24,32.96,33.71,32.39,32.64,31.41,31.50,30.18,29.18,28.86
9,697,44.66,43.60,-3.40,-1.89,13.74,14.27,20.20,20.61,26.67,26.95,22.54,22.65,11.07,12.93,23.37,18.46,15.38,15.42,19.08,20.33,20.70,24.05,22.17,22.64,23.89,26.53,22.49,21.53,23.66,22.41,25.56,24.41,26.71,25.40,27.93,26.89,28.33,27.65,30.18,28.64,31.42,29.98,32.18,30.29,32.54,31.80,34.14,33.36,34.39,33.20,34.17,32.83,34.52,33.02,34.01,33.21,33.76,32.38,32.76,31.43,31.36,30.16,29.17,28.93
10,698,44.80,43.72,-4.57,-1.63,11.39,12.63,17.93,18.83,24.47,25.02,20.21,20.24,14.47,14.13,23.18,20.83,15.94,15.78,17.31,20.27,20.85,25.94,23.12,23.73,24.28,27.24,22.26,21.47,25.37,22.63,24.40,24.40,27.73,26.76,28.73,26.96,29.54,27.82,30.15,28.65,30.98,29.78,31.97,30.66,32.94,31.76,34.65,33.93,34.81,33.68,34.31,32.82,34.74,32.98,34.19,33.07,33.49,32.24,32.69,31.40,31.31,30.28,29.48,29.35
